https://f10.vcaa.vic.edu.au/copyright-statement

Cross-curriculum priority,Organising idea set,Organising idea code,Organising idea
Aboriginal and Torres Strait Islander Histories and Cultures,Country and Place,VC2CCPACP1,"Aboriginal and Torres Strait Islander communities of Australia maintain a deep connection to, and responsibility for, Country and Place and have holistic values and belief systems that are connected to the land, sea, sky and waterways."
Aboriginal and Torres Strait Islander Histories and Cultures,Country and Place,VC2CCPACP2,"The occupation and colonisation of the land now known as Australia by the British, under the now overturned doctrine of terra nullius, were experienced by Aboriginal and Torres Strait Islander Peoples as an invasion that denied their occupancy of, and connection to, Country and Place."
Aboriginal and Torres Strait Islander Histories and Cultures,Country and Place,VC2CCPACP3,"Aboriginal and Torres Strait Islander Peoples are the Traditional Owners of Country and Place, protected in Australian law by the Native Title Act 1993, which recognises pre-existing sovereignty, continuing systems of law and customs, and connection to Country and Place."
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,VC2CCPAC1,"Aboriginal and Torres Strait Islander societies are diverse and have distinct cultural expressions, such as language, customs and beliefs. Aboriginal and Torres Strait Islander Peoples have the right to maintain, control, protect and develop their cultural expressions, while also maintaining the right to control, protect and develop culture as Indigenous Cultural and Intellectual Property."
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,VC2CCPAC2,"Aboriginal and Torres Strait Islander Peoples' ways of life reflect unique ways of being, knowing, thinking and doing."
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,VC2CCPAC3,"Aboriginal and Torres Strait Islander people belong to the world's oldest continuous cultures. Aboriginal and Torres Strait Islander Peoples demonstrate resilience in the maintenance, practice and revitalisation of culture despite the many historic and enduring impacts of colonisation, and they continue to celebrate and share the past, present and future manifestations of their cultures."
Aboriginal and Torres Strait Islander Histories and Cultures,People,VC2CCPAP1,Australia has 2 distinct First Nations Peoples; each encompasses a diversity of nations across Australia. Aboriginal and Torres Strait Islander Peoples have occupied the Australian continent and adjacent islands from time immemorial.
Aboriginal and Torres Strait Islander Histories and Cultures,People,VC2CCPAP2,"Aboriginal and Torres Strait Islander Peoples have sophisticated political, economic and social organisation systems, which include but are not limited to family and kinship structures, laws, traditions, customs, land tenure systems and protocols for strong governance and authority."
Aboriginal and Torres Strait Islander Histories and Cultures,People,VC2CCPAP3,"The significant and ongoing contributions of Aboriginal and Torres Strait Islander Peoples and their histories and cultures are acknowledged locally, nationally and globally."
Asia and Australia's Engagement with Asia,Knowing Asia and its diversity,VC2CCPASK1,"Peoples of the Asia region are diverse in their backgrounds, experiences, traditions, cultures, histories, stories, religions, beliefs, perspectives and languages."
Asia and Australia's Engagement with Asia,Knowing Asia and its diversity,VC2CCPASK2,The interrelationships between people and the diverse environments and systems across the Asia region have global implications.
Asia and Australia's Engagement with Asia,Understanding Asia's global significance,VC2CCPASU1,"The nations of Asia influence historical and contemporary global relationships, including international responses to global developments and events."
Asia and Australia's Engagement with Asia,Understanding Asia's global significance,VC2CCPASU2,"The peoples of Asia shape human endeavour through the arts and political, sporting, economic, technological and scientific domains."
Asia and Australia's Engagement with Asia,Growing Asia–Australia engagement,VC2CCPASG1,"Australia's deep and continuing relationships with the peoples of Asia develop and influence mutual understandings and expressions of citizenship and culture nationally, regionally and globally."
Asia and Australia's Engagement with Asia,Growing Asia–Australia engagement,VC2CCPASG2,Australia and Asia are interdependent through a range of historical and contemporary connections.
Sustainability,Interrelationship of systems,VC2CCPSIS1,"All lifeforms are connected through Earth's systems (the lithosphere, biosphere, hydrosphere and atmosphere), on which they depend for their wellbeing and survival."
Sustainability,Interrelationship of systems,VC2CCPSIS2,"Sustainable patterns of living require the responsible use of resources; circular economies; maintenance of clean air, water and soils; and the restoration of healthy environments and habitats with ecological integrity."
Sustainability,Interrelationship of systems,VC2CCPSIS3,"Economic, social, environmental and cultural systems influence the sustainability of Earth's systems."
Sustainability,Worldviews,VC2CCPSWV1,"Worldviews influence local and global action and, therefore, impact the interdependence of Earth's systems. Worldviews can play a crucial role in achieving sustainability."
Sustainability,Worldviews,VC2CCPSWV2,"Worldviews are formed by different experiences at a personal, local, national and global level, and are linked to individual, community and political mandates and actions for sustainability."
Sustainability,Worldviews,VC2CCPSWV3,"Worldviews that are based on, but not limited to, the 4 pillars of sustainable development consider the intergenerational impact of current and future actions."
Sustainability,Responsible design,VC2CCPSRD1,"Responsibly designed products and services aim to minimise the human impact on the environment and restore the quality, ecological integrity and diversity of economic, social, environmental and cultural systems."
Sustainability,Responsible design,VC2CCPSRD2,"Responsible design considers unexpected consequences that might impact individuals, communities and ecological integrity in the future. Creative, empathetic and innovative design is integral to the achievement of sustainable living."
Sustainability,Responsible design,VC2CCPSRD3,"Responsible design requires a recognition and appreciation of land custodianship, past practices, contemporary research and technological advancements, and balanced and informed decisions based on understanding possible interconnected economic, social, environmental and cultural impacts."
Sustainability,Futures thinking,VC2CCPSFT1,"Sustainable futures thinking is based on informed views that consider possible and desirable futures. It leads to individual, community, organisational and political action that reduces risk."
Sustainability,Futures thinking,VC2CCPSFT2,"Sustainable futures thinking creates desirable futures that value local, community, national and global equity and fairness across generations and into the future."
Sustainability,Futures thinking,VC2CCPSFT3,"Sustainable futures thinking requires individuals to think creatively, seek information, identify a variety of possibilities, reflect and evaluate actions, and collaborate with and influence others as they work towards desired futures."

https://f10.vcaa.vic.edu.au/copyright-statement
