EXPERIMENTAL DATA,,,,
Temperature (C),Voltage (V),Current (A),Resistance (Ohms),
-17,0.98,8.64,0.1134,
-11,0.99,9.01,0.1099,
9,0.94,8.67,0.1084,
60,1.02,8.94,0.1141,
95,1.08,9.08,0.1189,
,,,,
STATISTICAL ANALYSIS,,,,
Metric,Value,,,
Correlation Coefficient (r),0.782,,,
R-squared,0.612,,,
Sample Size (n),5,,,
Critical r-value (95% confidence),0.878,,,
Statistical Significance,Not Significant,,,
,,,,
EXPERIMENTAL VS THEORETICAL COMPARISON,,,,
Temperature (C),Experimental (Ohms),Theoretical (Ohms),Deviation (Ohms),Error (%)
-17,0.1134,0.10389,0.00951,9.15
-11,0.1099,0.10488,0.00502,4.77
9,0.1084,0.10818,0.00022,0.18
60,0.1141,0.1166,-0.0025,-2.14
95,0.1189,0.12238,-0.00348,-2.86
,,,,
THEORETICAL MODEL PARAMETERS,,,,
Parameter,Value,Unit,,
R0 (Reference Resistance),0.11,Ohms,,
Alpha (Temperature Coefficient),0.0015,per C,,
T0 (Reference Temperature),20,C,,
,,,,
COMPLETE THEORETICAL BRASS CURVE DATA,,,,
Temperature (C),Resistance (Ohms),,,
-20,0.1034,,,
-19,0.10357,,,
-18,0.10373,,,
-17,0.10389,,,
-16,0.10406,,,
-15,0.10423,,,
-14,0.10439,,,
-13,0.10456,,,
-12,0.10472,,,
-11,0.10488,,,
-10,0.10505,,,
-9,0.10522,,,
-8,0.10538,,,
-7,0.10555,,,
-6,0.10571,,,
-5,0.10588,,,
-4,0.10604,,,
-3,0.10621,,,
-2,0.10637,,,
-1,0.10654,,,
0,0.1067,,,
1,0.10687,,,
2,0.10703,,,
3,0.1072,,,
4,0.10736,,,
5,0.10753,,,
6,0.10769,,,
7,0.10786,,,
8,0.10802,,,
9,0.10818,,,
10,0.10835,,,
11,0.10852,,,
12,0.10868,,,
13,0.10885,,,
14,0.10901,,,
15,0.10918,,,
16,0.10934,,,
17,0.10951,,,
18,0.10967,,,
19,0.10984,,,
20,0.11,,,
21,0.11017,,,
22,0.11033,,,
23,0.1105,,,
24,0.11066,,,
25,0.11083,,,
26,0.11099,,,
27,0.11116,,,
28,0.11132,,,
29,0.11149,,,
30,0.11165,,,
31,0.11182,,,
32,0.11198,,,
33,0.11215,,,
34,0.11231,,,
35,0.11248,,,
36,0.11264,,,
37,0.11281,,,
38,0.11297,,,
39,0.11314,,,
40,0.1133,,,
41,0.11347,,,
42,0.11363,,,
43,0.1138,,,
44,0.11396,,,
45,0.11413,,,
46,0.11429,,,
47,0.11446,,,
48,0.11462,,,
49,0.11479,,,
50,0.11495,,,
51,0.11512,,,
52,0.11528,,,
53,0.11545,,,
54,0.11561,,,
55,0.11578,,,
56,0.11594,,,
57,0.11611,,,
58,0.11627,,,
59,0.11644,,,
60,0.1166,,,
61,0.11677,,,
62,0.11693,,,
63,0.1171,,,
64,0.11726,,,
65,0.11743,,,
66,0.11759,,,
67,0.11776,,,
68,0.11792,,,
69,0.11809,,,
70,0.11825,,,
71,0.11842,,,
72,0.11858,,,
73,0.11875,,,
74,0.11891,,,
75,0.11908,,,
76,0.11924,,,
77,0.11941,,,
78,0.11957,,,
79,0.11974,,,
80,0.1199,,,
81,0.12007,,,
82,0.12023,,,
83,0.1204,,,
84,0.12056,,,
85,0.12073,,,
86,0.12089,,,
87,0.12106,,,
88,0.12122,,,
89,0.12139,,,
90,0.12155,,,
91,0.12172,,,
92,0.12188,,,
93,0.12205,,,
94,0.12221,,,
95,0.12238,,,
96,0.12254,,,
97,0.12271,,,
98,0.12287,,,
99,0.12304,,,
100,0.1232,,,
