ACCOMPANY CLOCK	COMPANY O'CLOCK
ACCOMPANY COUNT	COMPANY ACCOUNT
ACCOMPANY CROSS	COMPANY ACROSS
ACCOUNT CLOCK	COUNT O'CLOCK
ACCOUNT COMPANY	COUNT ACCOMPANY
ACCOUNT CROSS	COUNT ACROSS
ACROSS CLOCK	CROSS O'CLOCK
ACROSS COMPANY	CROSS ACCOMPANY
ACROSS COUNT	CROSS ACCOUNT
AFFAIR BEND	BARE OFFEND
AFFAIR BOARD	BARE AFFORD
AFFAIR CORD	CARE AFFORD
AFFAIR FENCE	FAIR OFFENSE
AFFAIR HENCE	HAIR OFFENSE
AFFAIR RENDER	RARE OFFENDER
AFFAIR TEND	TEAR OFFEND
AFFAIR TENDER	TEAR OFFENDER
AFFAIR TRADE	TEAR AFRAID
AFFORD BEND	BOARD OFFEND
AFFORD LEND	LORD OFFEND
AFFORD SEND	SWORD OFFEND
AFFORD SENSE	SWORD OFFENSE
AFRAID TEND	TRADE OFFEND
AFRAID TENDER	TRADE OFFENDER
ALARM HEAVEN	HARM ELEVEN
ALIGN FARM	FINE ALARM
ALIGN SCIENCE	SIGN ALLIANCE
ALIGN SECTION	SIGN ELECTION
ALIGN SEVEN	SIGN ELEVEN
ALIVE FARM	FIVE ALARM
ALLIANCE SECTION	SCIENCE ELECTION
ALLIANCE SEVEN	SCIENCE ELEVEN
ALONE FARM	PHONE ALARM
ALONG SCIENCE	SONG ALLIANCE
ALONG SECTION	SONG ELECTION
ALONG SEVEN	SONG ELEVEN
AMID COUNT	KID AMOUNT
ANCHOR AGREE	OCCUR ANGRY
ANGER EAGLE	EAGER ANGLE
ANNOUNCE BLESS	BOUNCE UNLESS
APART PARENT	PART APPARENT
APART POINT	PART APPOINT
APART PROVE	PART APPROVE
APPARENT PART	PARENT APART
APPARENT POINT	PARENT APPOINT
APPARENT PROVE	PARENT APPROVE
APPEAL HEART	HEAL APART
APPEAL PARENT	PEEL APPARENT
APPEAL PART	PEEL APART
APPEAL POINT	PEEL APPOINT
APPEAL PROVE	PEEL APPROVE
APPEAR CHART	CHEER APART
APPEAR HEART	HEAR APART
APPEAR PARENT	PEER APPARENT
APPEAR PART	PEER APART
APPEAR POINT	PEER APPOINT
APPEAR PROVE	PEER APPROVE
APPLY ASSET	ALLY UPSET
APPOINT PARENT	POINT APPARENT
APPOINT PART	POINT APART
APPOINT PROVE	POINT APPROVE
APPROVE PARENT	PROVE APPARENT
APPROVE PART	PROVE APART
APPROVE POINT	PROVE APPOINT
ASIDE SALT	SIDE ASSAULT
ASIDE SLEEP	SIDE ASLEEP
ASIDE STATE	SIDE ESTATE
ASIDE WRIST	RIDE ASSIST
ASLEEP SALT	SLEEP ASSAULT
ASLEEP STATE	SLEEP ESTATE
ASSAULT FIST	FAULT ASSIST
ASSAULT SLEEP	SALT ASLEEP
ASSAULT STATE	SALT ESTATE
ASSERT DISTANCE	DIRT ASSISTANCE
ASSERT DISTANT	DIRT ASSISTANT
ASSESS LIST	LESS ASSIST
ASSIGN FAULT	FINE ASSAULT
