( AH
(3f7gr OBJECT
(3h[b9q[j OBLIGATION
(3pr[g[h OBSTACLE
(3ve[p OBVIOUS
(3ve[phe OBVIOUSLY
(3y8v9q[j OBSERVATION
(5 ODD
(5e[jp AUDIENCE
(5y ODDS
(a[h AWFUL
(b[pr AUGUST
(gp[f[j OXYGEN
(grl38 OCTOBER
(gw85 AWKWARD
(gx[n2 OCCUPY
(gx[n9q[j OCCUPATION
(h[v OLIVE
(j ON
(j[pr HONEST
(j[prhe HONESTLY
(j8 HONOR
(jbldk ONGOING
(jro[no[j8 ENTREPRENEUR
(jru ONTO
(n[y[r OPPOSITE
(n[ydq[j OPPOSITION
(n89q[j OPERATION
(n89r OPERATE
(n89r8 OPERATOR
(n89rdk OPERATING
(n8ruj[re OPPORTUNITY
(no[ OPERA
(nq[j OPTION
(nr OPT
(nr[idprdg OPTIMISTIC
(obx[i[jr ARGUMENT
(obxu ARGUE
(og[r7g48 ARCHITECTURE
(og[r7gr ARCHITECT
(og2v ARCHIVE
(oi ARM
(oi5 ARMED
(oie ARMY
(or ART
(or[adq[h ARTIFICIAL
(or[g[h ARTICLE
(or[pr ARTIST
(ordprdg ARTISTIC
(p[i AWESOME
)3p[hur ABSOLUTE
)3p[hurhe ABSOLUTELY
)3p[jp ABSENCE
)3pro)gr ABSTRACT
)5 AD
)5 ADD
)5[5 ADDED
)5[gw[r ADEQUATE
)5[h7p[jr ADOLESCENT
)5[nr9q[j ADAPTATION
)5i2o ADMIRE
)5idj[pro9q[j ADMINISTRATION
)5idq[j ADMISSION
)5o7p ADDRESS
)5v)jrdf ADVANTAGE
)5v[g[r ADVOCATE
)5v2p ADVICE
)5v2y ADVISE
)5v2y8 ADVISER
)5v7j48 ADVENTURE
)5v8r2ydk ADVERTISING
)aodg[j AFRICAN
)ar8 AFTER
)ar8juj AFTERNOON
)ar8w85 AFTERWARD
)bo[g[h48 AGRICULTURE
)bo[g[h48[h AGRICULTURAL
)g[57idg ACADEMIC
)g4[w[h ACTUAL
)g4[w[he ACTUALLY
)gj(hdf ACKNOWLEDGE
)gp[5[jr ACCIDENT
)gp7nr ACCEPT
)gp7nr[3[h ACCEPTABLE
)gp7nr[jp ACCEPTANCE
)gp7p ACCESS
)gp7p[3[h ACCESSIBLE
)gq[j ACTION
)gr ACT
)gr8 ACTOR
)grdv ACTIVE
)grdv[pr ACTIVIST
)grdv[re ACTIVITY
)grdvhe ACTIVELY
)gro[p ACTRESS
)gw[ydq[j ACQUISITION
)gx[y9q[j ACCUSATION
)gx8[pe ACCURACY
)gx8[r ACCURATE
)gx8[rhe ACCURATELY
)h[b9q[j ALLEGATION
)h2 ALLY
)h3[i ALBUM
)ha[ ALPHA
)he ALLEY
)hg[c(h ALCOHOL
)i AM
)i3)p[58 AMBASSADOR
)i3dq[j AMBITION
)i3dq[p AMBITIOUS
)j[h[pr ANALYST
)j[h2y ANALYZE
)j[i[h ANIMAL
)j[v8p8e ANNIVERSARY
)j5 AND
)j5om5 ANDROID
)jp7pr8 ANCESTOR
)jp8 ANSWER
)jr AUNT
)jrdp[n9r ANTICIPATE
)jxu[h ANNUAL
)jxu[he ANNUALLY
)kb[h ANGLE
)kb8 ANGER
)kboe ANGRY
)kg[h ANKLE
)kg8 ANCHOR
)kgq[p ANXIOUS
)ky2[re ANXIETY
)n APP
)n[h APPLE
)nh[g9q[j APPLICATION
)o[3 ARAB
)ol ARROW
)p ASS
)p[5 ACID
)p7r ASSET
)pg ASK
)pn7gr ASPECT
)q ASH
)r AT
)r[ru5 ATTITUDE
)ri[pado ATMOSPHERE
)ro[3xur ATTRIBUTE
)sh7rdg ATHLETIC
)sher ATHLETE
)v[ju AVENUE
)v8df AVERAGE
)y AS
[ UH
[3)j5[j ABANDON
[3[v ABOVE
[3]oq[j ABORTION
[31r ABOUT
[3dh[re ABILITY
[3f7gq[j OBJECTION
[3f7grdv OBJECTIVE
[3o]5 ABROAD
[3r9j OBTAIN
[3xup ABUSE
[3y]o3 ABSORB
[3y8v OBSERVE
[3y8v8 OBSERVER
[4ev ACHIEVE
[4evi[jr ACHIEVEMENT
[5(nq[j ADOPTION
[5(nr ADOPT
[5)nr ADAPT
[5[hr ADULT
[5dgq[j ADDICTION
[5dq[j ADDITION
[5dq[j EDITION
[5dq[j[h ADDITIONAL
[5dq[j[he ADDITIONALLY
[5idj[pr8 ADMINISTER
[5idj[pro9r8 ADMINISTRATOR
[5idj[pro9rdv ADMINISTRATIVE
[5idr ADMIT
[5v)jp ADVANCE
[5v)jpr ADVANCED
[5v8r[yi[jr ADVERTISEMENT
[68 OTHER
[68w2y OTHERWISE
[a]o5 AFFORD
[a]o5[3[h AFFORDABLE
[a7gr AFFECT
[a7gr EFFECT
[a7grdv EFFECTIVE
[a7grdvhe EFFECTIVELY
[a7grdvj[p EFFECTIVENESS
[a7j5 OFFEND
[a7j58 OFFENDER
[a7jp OFFENSE
[a7jpdv OFFENSIVE
[a7o AFFAIR
[adhe9q[j AFFILIATION
[adq[h OFFICIAL
[adq[he OFFICIALLY
[adq[jpe EFFICIENCY
[adq[jr EFFICIENT
[ao95 AFRAID
[b7j AGAIN
[b7jpr AGAINST
[bhe UGLY
[bl AGO
[bo7pdv AGGRESSIVE
[boe AGREE
[boei[jr AGREEMENT
[c[ UH-HUH
[c75 AHEAD
[f[pr ADJUST
[f[pri[jr ADJUSTMENT
[f7j5[ AGENDA
[g(i[59r ACCOMMODATE
[g(inhdq ACCOMPLISH
[g(inhdqi[jr ACCOMPLISHMENT
[g)5[ie ACADEMY
[g[in[je ACCOMPANY
[g]o5dk ACCORDING
[g1jr ACCOUNT
[g1jr[3dh[re ACCOUNTABILITY
[g1jrdk ACCOUNTING
[g8 OCCUR
[g9z[j OCCASION
[g9z[j[h OCCASIONAL
[g9z[j[he OCCASIONALLY
[gh(g O'CLOCK
[go]p ACROSS
[gp7jr ACCENT
[gw28 ACQUIRE
[gxuy ACCUSE
[h(oi ALARM
[h]k ALONG
[h]kp25 ALONGSIDE
[h1 ALLOW
[h2[jp ALLIANCE
[h2g ALIKE
[h2j ALIGN
[h2v ALIVE
[h7f[5he ALLEGEDLY
[h7f5 ALLEGED
[h7gq[j ELECTION
[h7gr ELECT
[h7gr8[h ELECTORAL
[h7gro(jdg ELECTRONIC
[h7grodg ELECTRIC
[h7grodg[h ELECTRICAL
[h7grodp[re ELECTRICITY
[h7v[j ELEVEN
[hdi[j9r ELIMINATE
[her ELITE
[hlj ALONE
[hr[i[r ULTIMATE
[hr[i[rhe ULTIMATELY
[i UM
[i[k AMONG
[i1jr AMOUNT
[i7j5i[jr AMENDMENT
[i7o[g[j AMERICAN
[i9ydk AMAZING
[id5 AMID
[j IN
[j(j[i[p ANONYMOUS
[j)h[p[p ANALYSIS
[j[68 ANOTHER
[j[a ENOUGH
[j[inhmi[jr UNEMPLOYMENT
[j]oi[p ENORMOUS
