ACCEPT IT	EXCEPT AT
ACRE UM	OCCUR AIM
AD AIM	AID AM
AD EIGHT	AID AT
ADD AIDE	AID AD
ADD AIM	AID AM
ADD EIGHT	AID AT
AGE ET	EDGE EIGHT
AGO EITHER	EGO OTHER
AGO EVEN	EGO OVEN
AH IN	UH ON
AH OWN	OH ON
AH OWNER	OH HONOR
AID AM	AD AIM
AID AT	AD EIGHT
AID ODDS	ODD AIDS
AIDE ADD	AD AID
AIDE AM	AD AIM
AIDE AT	AD EIGHT
AIDE ODDS	ODD AIDS
AIDS ODD	ODDS AID
AIM AD	AM AID
AIM ADD	AM AID
AIM AT	AM EIGHT
AIM OCCUR	UM ACRE
AIR IT	EAR ET
AIR OUGHT	OR ET
ALLEY FLY	FLEE ALLY
ALLEY PRO	PLEA ARROW
ALLY FLEE	FLY ALLEY
AM AID	AIM AD
AM AIDE	AIM AD
AM EIGHT	AIM AT
AM UNCLE	UM ANKLE
AM UP	UM APP
AM US	UM ASS
AND ET	END AT
ANKLE UM	UNCLE AM
ANKLE UP	UNCLE APP
ANKLE US	UNCLE ASS
APP UM	UP AM
APP UNCLE	UP ANKLE
APP US	UP ASS
ARISE RANGE	RISE ARRANGE
ARISE RAY	RISE ARRAY
ARISE RE	RISE ARRAY
ARISE REST	RISE ARREST
ARISE RIVAL	RISE ARRIVAL
ARISE ROUND	RISE AROUND
ARISE SAY	SIZE ARRAY
ARISE SOUND	SIZE AROUND
ARISE WAY	WISE ARRAY
ARISE WEIGH	WISE ARRAY
ARISE WEST	WISE ARREST
ARISE WOUND	WISE AROUND
AROUND FIVE	FOUND ARRIVE
AROUND FLEE	FOUND EARLY
AROUND PAY	POUND ARRAY
AROUND PLEA	POUND EARLY
AROUND RANGE	ROUND ARRANGE
AROUND RAY	ROUND ARRAY
AROUND RE	ROUND ARRAY
AROUND REST	ROUND ARREST
AROUND RISE	ROUND ARISE
AROUND RIVAL	ROUND ARRIVAL
AROUND SAY	SOUND ARRAY
AROUND SIZE	SOUND ARISE
AROUND WAY	WOUND ARRAY
AROUND WEIGH	WOUND ARRAY
AROUND WEST	WOUND ARREST
AROUND WISE	WOUND ARISE
ARRANGE CHEST	CHANGE ARREST
ARRANGE RAY	RANGE ARRAY
ARRANGE RE	RANGE ARRAY
ARRANGE REST	RANGE ARREST
ARRANGE RISE	RANGE ARISE
ARRANGE RIVAL	RANGE ARRIVAL
ARRANGE ROUND	RANGE AROUND
ARRAY BEST	BAY ARREST
ARRAY GUEST	GAY ARREST
ARRAY LIVE	LAY ARRIVE
ARRAY PLEA	PAY EARLY
ARRAY POUND	PAY AROUND
ARRAY RANGE	RAY ARRANGE
ARRAY REST	RAY ARREST
ARRAY RISE	RAY ARISE
ARRAY RIVAL	RAY ARRIVAL
ARRAY ROUND	RAY AROUND
ARRAY SIZE	SAY ARISE
ARRAY SOUND	SAY AROUND
ARRAY WEST	WAY ARREST
ARRAY WISE	WAY ARISE
ARRAY WOUND	WAY AROUND
ARREST BAY	BEST ARRAY
ARREST CHANGE	CHEST ARRANGE
ARREST GAY	GUEST ARRAY
ARREST RANGE	REST ARRANGE
ARREST RAY	REST ARRAY
ARREST RE	REST ARRAY
ARREST RISE	REST ARISE
ARREST RIVAL	REST ARRIVAL
ARREST ROUND	REST AROUND
ARREST WAY	WEST ARRAY
ARREST WEIGH	WEST ARRAY
ARREST WISE	WEST ARISE
ARREST WOUND	WEST AROUND
ARRIVAL RANGE	RIVAL ARRANGE
ARRIVAL RAY	RIVAL ARRAY
ARRIVAL RE	RIVAL ARRAY
ARRIVAL REST	RIVAL ARREST
ARRIVAL RISE	RIVAL ARISE
ARRIVAL ROUND	RIVAL AROUND
ARRIVE FLEE	FIVE EARLY
ARRIVE FOUND	FIVE AROUND
ARRIVE LAY	LIVE ARRAY
ARROW PLEA	PRO ALLEY
AS EAT	EASE AT
ASS UM	US AM
ASS UNCLE	US ANKLE
ASS UP	US APP
AT AID	EIGHT AD
AT AIDE	EIGHT AD
AT AIM	EIGHT AM
AT EASE	EAT AS
AT END	ET AND
AT EXCEPT	IT ACCEPT
ATTACK SWEAR	STACK AWARE
AWARE STACK	SWEAR ATTACK
BABY MAD	MAYBE BAD
